policy_id,name,short_name,category,subcategory,type,jurisdiction,agency,state,effective_date,status,description,market_impact_summary,price_impact_direction,price_impact_magnitude,affected_regions,affected_markets,source_url,effective_year,notes
EPACT_2005_FRAC,Energy Policy Act 2005 - Fracking Exemption,Halliburton Loophole,OIL_GAS_PRODUCTION,Fracking Regulation,FEDERAL_LEGISLATION,FEDERAL,EPA,,2005-08-08,ACTIVE,Exempted hydraulic fracturing from Safe Drinking Water Act. Removed barrier to shale development.,Enabled shale gas revolution. US production: 18 Tcf (2005) to 34 Tcf (2023). Transformed US to net exporter.,DECREASE,VERY_HIGH,NATIONAL,"NATURAL_GAS,OIL,ELECTRICITY",https://www.congress.gov/bill/109th-congress/house-bill/6,2005.0,
RGGI_2009,Regional Greenhouse Gas Initiative,RGGI,CARBON_MARKETS,Regional Cap-and-Trade,INTERSTATE_COMPACT,REGIONAL,RGGI_INC,,2009-01-01,ACTIVE,First mandatory US cap-and-trade for CO2. 11 Northeast states.,Carbon price $13-15/ton. Accelerated coal retirements. $6B+ revenue.,INCREASE,MODERATE,"NORTHEAST,MID_ATLANTIC",ELECTRICITY,https://www.rggi.org/,2009.0,
DOE_SABINE_PASS,Sabine Pass LNG Export Authorization,First Non-FTA Export,LNG_EXPORTS,Export Authorization,FEDERAL_PERMIT,FEDERAL,DOE,,2011-05-20,ACTIVE,First DOE authorization for LNG exports to non-FTA countries. Landmark decision.,Opened global markets. First cargo Feb 2016. Transformed US from importer to exporter.,INCREASE,MODERATE,GULF_COAST,"NATURAL_GAS,LNG",https://www.energy.gov/fecm/sabine-pass-liquefaction-llc,2011.0,
FERC_1000,FERC Order 1000 - Transmission Planning,Transmission Planning,ELECTRICITY_INFRASTRUCTURE,Transmission Planning,FEDERAL_REGULATION,FEDERAL,FERC,,2011-07-21,ACTIVE,Reformed transmission planning to consider public policy requirements and remove ROFR.,Improved regional transmission planning. Increased competition for transmission development.,MIXED,MODERATE,NATIONAL,ELECTRICITY,https://www.ferc.gov/industries-data/electric/industry-activities/transmission-planning,2011.0,
CA_AB32,California Cap-and-Trade,CA Cap-and-Trade,CARBON_MARKETS,State Cap-and-Trade,STATE_LEGISLATION,STATE,CARB,CA,2012-01-01,ACTIVE,"California economy-wide cap-and-trade. Covers electricity, industrial, fuels.",Carbon price $30-35/ton. Eliminated in-state coal. Linked with Quebec.,INCREASE,HIGH,"CALIFORNIA,WECC","ELECTRICITY,NATURAL_GAS,TRANSPORTATION",https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program,2012.0,
PA_ACT_13,Pennsylvania Act 13 - Marcellus Regulation,PA Marcellus Rules,OIL_GAS_PRODUCTION,State Fracking Rules,STATE_LEGISLATION,STATE,PA_DEP,PA,2012-02-14,PARTIALLY_ACTIVE,"Comprehensive Marcellus Shale regulation. Impact fees, setbacks, environmental standards.",Created framework for largest US shale play. PA: 1 Tcf (2010) to 7 Tcf (2023).,NEUTRAL,LOW,"PENNSYLVANIA,APPALACHIA",NATURAL_GAS,https://www.legis.state.pa.us/cfdocs/legis/li/uconsCheck.cfm?yr=2012&sessInd=0&act=13,2012.0,
CSAPR_2011,Cross-State Air Pollution Rule,CSAPR,ENVIRONMENTAL_EMISSIONS,Interstate Transport,FEDERAL_REGULATION,FEDERAL,EPA,,2015-01-01,ACTIVE,Addresses interstate SO2 and NOx transport. Covers 28 eastern states.,Additional coal retirement driver. Updated multiple times with tighter limits.,INCREASE,LOW,"EASTERN_US,MIDWEST","ELECTRICITY,COAL",https://www.epa.gov/csapr,2015.0,
MATS_2012,Mercury and Air Toxics Standards,MATS Rule,ENVIRONMENTAL_EMISSIONS,Hazardous Air Pollutants,FEDERAL_REGULATION,FEDERAL,EPA,,2015-04-16,ACTIVE,First national standards for mercury and toxics from power plants.,Major coal retirement driver. 15-20 GW coal retired partly due to MATS.,INCREASE,MODERATE,NATIONAL,"ELECTRICITY,COAL,NATURAL_GAS",https://www.epa.gov/mats,2015.0,
NY_FRACK_BAN,New York Fracking Prohibition,NY Fracking Ban,OIL_GAS_PRODUCTION,State Fracking Ban,STATE_REGULATION,STATE,NY_DEC,NY,2015-06-29,ACTIVE,Permanent ban on high-volume hydraulic fracturing in New York State.,Prevented NY Marcellus development. Increased dependence on pipeline imports.,INCREASE,LOW,"NEW_YORK,NORTHEAST",NATURAL_GAS,https://www.dec.ny.gov/energy/75370.html,2015.0,
NM_ETA_2019,New Mexico Energy Transition Act,NM Coal Phaseout,COAL_RETIREMENT,State Mandate,STATE_LEGISLATION,STATE,NM_PRC,NM,2019-03-22,ACTIVE,100% carbon-free by 2045. Enabled San Juan GS securitization.,San Juan GS retired 2022. PNM transitioning remaining coal.,MIXED,MODERATE,"NEW_MEXICO,SOUTHWEST","ELECTRICITY,COAL",https://www.nmlegis.gov/Sessions/19%20Regular/final/SB0489.pdf,2019.0,
CO_SB19_181,Colorado SB 19-181 - Oil & Gas Reform,CO Oil & Gas Reform,OIL_GAS_PRODUCTION,State Drilling Rules,STATE_LEGISLATION,STATE,COGCC,CO,2019-04-16,ACTIVE,Reformed CO oil & gas regulation to prioritize public health. Local government control.,Increased regulatory uncertainty in DJ Basin. Some capital shifted to Permian.,NEUTRAL,LOW,"COLORADO,DJ_BASIN","NATURAL_GAS,OIL",https://leg.colorado.gov/bills/sb19-181,2019.0,
CO_SB19_236,Colorado Clean Energy Plan,CO Coal Retirement,COAL_RETIREMENT,State Mandate,STATE_LEGISLATION,STATE,CO_PUC,CO,2019-05-30,ACTIVE,"Xcel: 80% carbon reduction by 2030, 100% clean by 2050.",Xcel retiring all CO coal by 2030. Template for utility decarbonization.,MIXED,MODERATE,COLORADO,"ELECTRICITY,COAL",https://leg.colorado.gov/bills/sb19-236,2019.0,
TX_SB3_2021,Texas SB 3 - Grid Reliability,TX Weatherization,GRID_RELIABILITY,Weatherization Mandate,STATE_LEGISLATION,STATE,PUCT,TX,2021-06-08,ACTIVE,Post-Uri weatherization requirements for generation and gas facilities.,Increased compliance costs. Aims to prevent Uri repeat.,INCREASE,LOW,"TEXAS,ERCOT","ELECTRICITY,NATURAL_GAS",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB3,2021.0,
IL_CEJA_2021,Illinois Climate and Equitable Jobs Act,IL Coal Phaseout,COAL_RETIREMENT,State Mandate,STATE_LEGISLATION,STATE,IL_EPA,IL,2021-09-15,ACTIVE,"Coal by 2030, gas by 2045, 100% clean by 2050. Largest state coal phaseout.",Retiring ~6 GW coal in MISO by 2030. Creates reliability challenges.,INCREASE,MODERATE,"ILLINOIS,MISO","ELECTRICITY,COAL,NATURAL_GAS",https://www.ilga.gov/legislation/publicacts/fulltext.asp?Name=102-0662,2021.0,
IIJA_2021,Infrastructure Investment and Jobs Act,Bipartisan Infrastructure,INFRASTRUCTURE_INVESTMENT,Grid and Clean Energy,FEDERAL_LEGISLATION,FEDERAL,DOE,,2021-11-15,ACTIVE,"$1.2T infrastructure including $65B grid, $8B H2 hubs, $12B CCS.",Addresses infrastructure bottlenecks. Complements IRA incentives.,MIXED,MODERATE,NATIONAL,"ELECTRICITY,HYDROGEN,CCS",https://www.congress.gov/bill/117th-congress/house-bill/3684,2021.0,
IRA_2022,Inflation Reduction Act - Clean Energy,IRA Clean Energy,CLEAN_ENERGY_INCENTIVES,Tax Credits,FEDERAL_LEGISLATION,FEDERAL,TREASURY,,2022-08-16,SUPERSEDED,"Largest US climate investment. Extended PTC/ITC, new 45V hydrogen, 45Q CCS credits.",$369B clean energy incentives. Transforms clean energy economics.,DECREASE,HIGH,NATIONAL,"ELECTRICITY,HYDROGEN,CCS",https://www.congress.gov/bill/117th-congress/house-bill/5376,2022.0,"Superseded by OBBBA on July 4, 2025"
IRA_45Q,Carbon Capture Tax Credit,45Q CCS Credit,CCS_INCENTIVES,Capture Credit,FEDERAL_LEGISLATION,FEDERAL,TREASURY,,2023-01-01,ACTIVE,"$85/ton geologic storage, $60/ton EOR, $180/ton DAC.",Makes CCS viable for many applications. Enables blue hydrogen.,DECREASE,HIGH,NATIONAL,"CCS,NATURAL_GAS,HYDROGEN",https://www.irs.gov/credits-deductions/carbon-oxide-sequestration-credit,2023.0,
IRA_45V,Clean Hydrogen Production Tax Credit,45V Hydrogen PTC,CLEAN_HYDROGEN,Production Incentive,FEDERAL_LEGISLATION,FEDERAL,TREASURY,,2023-01-01,ACTIVE,Up to $3/kg for clean hydrogen based on carbon intensity. Four tiers.,$3/kg credit makes green hydrogen competitive with grey.,DECREASE,VERY_HIGH,NATIONAL,"HYDROGEN,ELECTRICITY",https://www.irs.gov/credits-deductions/section-45v-credit-for-production-of-clean-hydrogen,2023.0,
WA_CCA_2023,Washington Cap-and-Invest,WA Cap-and-Invest,CARBON_MARKETS,State Cap-and-Trade,STATE_LEGISLATION,STATE,WA_ECOLOGY,WA,2023-01-01,ACTIVE,Washington economy-wide cap-and-trade. Second state after California.,"Carbon price $48-63/ton, highest in US. Adds cost to WA power and fuels.",INCREASE,HIGH,"WASHINGTON,PACIFIC_NW","ELECTRICITY,NATURAL_GAS,TRANSPORTATION",https://ecology.wa.gov/air-climate/climate-commitment-act,2023.0,
MN_100_CLEAN,Minnesota 100% Clean Electricity,MN Clean Energy,COAL_RETIREMENT,State Mandate,STATE_LEGISLATION,STATE,MN_PUC,MN,2023-02-07,ACTIVE,100% carbon-free by 2040. Earliest Midwest clean target.,Accelerates Xcel coal retirements. Drives renewable procurement.,MIXED,MODERATE,"MINNESOTA,MISO","ELECTRICITY,COAL",https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF7&ssn=0&y=2023,2023.0,
MVP_APPROVAL_2023,Mountain Valley Pipeline Congressional Approval,MVP Approval,GAS_INFRASTRUCTURE,Pipeline Permitting,FEDERAL_LEGISLATION,FEDERAL,CONGRESS,,2023-06-03,ACTIVE,"Debt ceiling bill directed completion of MVP, overriding court challenges.","Enabled 303-mile, 2 Bcf/d pipeline. First Congressional pipeline approval. In service 2024.",DECREASE,MODERATE,"APPALACHIA,SOUTHEAST",NATURAL_GAS,https://www.congress.gov/bill/118th-congress/house-bill/3746,2023.0,
GOOD_NEIGHBOR_2023,Good Neighbor Ozone Rule,Good Neighbor,ENVIRONMENTAL_EMISSIONS,Interstate Transport,FEDERAL_REGULATION,FEDERAL,EPA,,2023-08-04,PARTIALLY_STAYED,Updated CSAPR for 2015 ozone NAAQS. Requires NOx reductions in 23 states.,"Supreme Court partially stayed. Where effective, accelerates coal retirement.",INCREASE,MODERATE,"EASTERN_US,MIDWEST","ELECTRICITY,COAL",https://www.epa.gov/csapr/good-neighbor-plan-2015-ozone-naaqs,2023.0,
DOE_H2_HUBS,Regional Clean Hydrogen Hubs,H2Hubs,CLEAN_HYDROGEN,Infrastructure Development,FEDERAL_GRANT,FEDERAL,DOE,,2023-10-13,ACTIVE,"$7B for 7 regional hydrogen hubs covering production, storage, transport, end-use.",Creates regional hydrogen ecosystems. Expected 3M MT/year production.,DECREASE,MODERATE,"GULF_COAST,MIDWEST,APPALACHIA,CALIFORNIA,PACIFIC_NW","HYDROGEN,NATURAL_GAS,ELECTRICITY",https://www.energy.gov/oced/regional-clean-hydrogen-hubs,2023.0,
TX_ENERGY_FUND_2023,Texas Energy Fund,TX Gas Plant Loans,CAPACITY_INVESTMENT,State Financing,STATE_LEGISLATION,STATE,PUCT,TX,2023-11-07,ACTIVE,$10B fund for low-interest loans for new dispatchable generation.,Major incentive for new gas. Could support 10+ GW capacity.,MIXED,MODERATE,"TEXAS,ERCOT","ELECTRICITY,NATURAL_GAS",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=88R&Bill=SB2627,2023.0,
IRA_METHANE_FEE,Methane Emissions Charge,Methane Fee,ENVIRONMENTAL_EMISSIONS,Methane Fee,FEDERAL_LEGISLATION,FEDERAL,EPA,,2024-01-01,ACTIVE,"First federal methane fee. $900/ton (2024), $1,200/ton (2025), $1,500/ton (2026+).",Creates direct cost for methane emissions. Incentivizes leak detection.,INCREASE,LOW,NATIONAL,"NATURAL_GAS,OIL",https://www.epa.gov/inflation-reduction-act/methane-emissions-reduction-program,2024.0,
DOE_LNG_PAUSE_2024,DOE LNG Export Authorization Pause,LNG Permit Pause,LNG_EXPORTS,Export Authorization,FEDERAL_POLICY,FEDERAL,DOE,,2024-01-26,ACTIVE,Paused new non-FTA LNG authorizations pending economic and environmental review update.,Created uncertainty for ~10 Bcf/d proposed. Existing approvals unaffected.,MIXED,LOW,GULF_COAST,"NATURAL_GAS,LNG",https://www.energy.gov/articles/doe-announces-pause-pending-lng-export-decisions,2024.0,
EPA_METHANE_2024,EPA Oil and Gas Methane Rule,Methane Rule,ENVIRONMENTAL_EMISSIONS,Methane Regulation,FEDERAL_REGULATION,FEDERAL,EPA,,2024-03-08,ACTIVE,"First comprehensive federal methane rule for oil & gas. LDAR, flaring limits, zero-emission devices.",Increases producer compliance costs. May accelerate consolidation.,INCREASE,LOW,NATIONAL,"NATURAL_GAS,OIL",https://www.epa.gov/controlling-air-pollution-oil-and-natural-gas-industry,2024.0,
EPA_111_2024,EPA Power Plant Carbon Rule,Power Plant GHG Rule,ENVIRONMENTAL_EMISSIONS,Carbon Regulation,FEDERAL_REGULATION,FEDERAL,EPA,,2024-07-08,ACTIVE_LITIGATION,Requires coal plants: 90% CO2 reduction by 2032 or retire. New gas: CCS by 2035.,"If upheld, accelerates coal retirement. Requires CCS for new baseload gas.",INCREASE,HIGH,NATIONAL,"ELECTRICITY,COAL,NATURAL_GAS,CCS",https://www.epa.gov/stationary-sources-air-pollution/greenhouse-gas-standards-fossil-fuel-power,2024.0,
TX_PCM_2026,ERCOT Performance Credit Mechanism,TX PCM,CAPACITY_MARKETS,Reliability Mechanism,STATE_REGULATION,STATE,PUCT,TX,2026-06-01,PENDING,Performance credits for dispatchable capacity during scarcity.,May support 3-10 GW new dispatchable. $1-2B/year generator revenue.,INCREASE,MODERATE,"TEXAS,ERCOT",ELECTRICITY,https://www.puc.texas.gov/industry/electric/PCM.aspx,2026.0,
CPP_2015,Clean Power Plan,CPP (Stayed),ENVIRONMENTAL_EMISSIONS,Carbon Regulation,FEDERAL_REGULATION,FEDERAL,EPA,,,REPEALED,"First CO2 limits for existing power plants. 32% reduction by 2030. Stayed, then repealed.",Never implemented. Created planning uncertainty. Influenced utility decisions.,NEUTRAL,NONE,NATIONAL,"ELECTRICITY,COAL",https://www.epa.gov/cleanpowerplan,,
OBBBA_2025,One Big Beautiful Bill Act,OBBBA,CLEAN_ENERGY,Tax Credits,FEDERAL_LEGISLATION,FEDERAL,Treasury/IRS,,2025-07-04,ACTIVE,"Sweeping tax and energy legislation that repeals/modifies most IRA clean energy provisions. Terminates EV credits, accelerates wind/solar phaseout, maintains nuclear/carbon capture support, creates Energy Dominance Financing Program.","Reduces renewable energy subsidies, supports fossil fuel development, slows clean energy deployment",INCREASE,MODERATE,NATIONAL,"NATURAL_GAS,ELECTRICITY,RENEWABLES",https://www.irs.gov/newsroom/one-big-beautiful-bill-provisions,2025.0,"Signed by President Trump July 4, 2025. Replaces IRA as primary federal energy policy."
