policy_id,name,short_name,category,subcategory,jurisdiction,agency,effective_date,announcement_date,implementation_period_months,status,superseded_by,description,market_impact,price_impact_direction,price_impact_magnitude,price_impact_lag_months,affected_regions,affected_markets,affected_sectors,quantitative_impact,source,source_url,state,region,effective_year,announcement_year
DOE_SABINE_PASS,Sabine Pass LNG Export Authorization,First Non-FTA LNG Export,LNG_EXPORTS,Export Authorization,FEDERAL,DOE,2011-05-20,2011-05-20,0.0,ACTIVE,,First authorization to export LNG to non-FTA countries. Landmark decision enabling US LNG exports to Europe and Asia.,"Opened global markets for US LNG. Sabine Pass began exports Feb 2016, transforming US gas market dynamics.",INCREASE,MODERATE,60.0,"GULF_COAST,NATIONAL","NATURAL_GAS,LNG","LNG_EXPORTERS,GAS_PRODUCERS,GAS_PIPELINES",US LNG exports: 0 (2015) to 12+ Bcf/d (2024),DOE,https://www.energy.gov/fecm/sabine-pass-liquefaction-llc-fe-dkt-no-10-111-lng,,,2011.0,2011
CA_AB32,California Global Warming Solutions Act,AB 32,CARBON_MARKETS,State Carbon Price,STATE,CARB,2012-01-01,2006-09-27,60.0,ACTIVE,,Established California cap-and-trade program and 2020 emission reduction targets. Extended by SB 32 with 2030 targets.,Carbon price adds $15-30/MWh to fossil generation costs. Eliminated in-state coal. Linked with Quebec market.,INCREASE,HIGH,24.0,"CALIFORNIA,WECC","ELECTRICITY,NATURAL_GAS","POWER_GENERATORS,INDUSTRIAL",Carbon price ~$30/ton (2024); no remaining coal generation in CA,CARB,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program,CA,,2012.0,2006
PA_ACT_13_2012,Pennsylvania Act 13,PA Marcellus Regulation,OIL_GAS_PRODUCTION,State Fracking Rules,STATE,PA_DEP,2012-02-14,2012-02-14,6.0,PARTIALLY_STRUCK,,"Comprehensive regulation of Marcellus Shale drilling. Established impact fees, setback requirements, and preempted local zoning. Parts struck down by PA Supreme Court.",Created regulatory framework for largest US shale gas play. Impact fees generated >$2B for local governments.,NEUTRAL,LOW,12.0,"PENNSYLVANIA,APPALACHIA",NATURAL_GAS,"GAS_PRODUCERS,LOCAL_GOVERNMENT",PA gas production: 1 Tcf (2010) to 7 Tcf (2023),PA Legislature,https://www.legis.state.pa.us/cfdocs/legis/li/uconsCheck.cfm?yr=2012&sessInd=0&act=13,PA,,2012.0,2012
CSAPR_2011,Cross-State Air Pollution Rule,CSAPR,ENVIRONMENTAL_EMISSIONS,Regional Emissions,FEDERAL,EPA,2015-01-01,2011-07-06,42.0,ACTIVE,,Addresses interstate transport of NOx and SO2 emissions. Requires upwind states to reduce emissions contributing to downwind states ozone and PM2.5 nonattainment.,Additional driver for coal plant emission controls or retirement. Updated multiple times with tighter limits.,INCREASE,LOW,24.0,EASTERN_US,"ELECTRICITY,COAL","POWER_GENERATORS,COAL_PRODUCERS",Covers 27 states; contributed to coal retirements,EPA,https://www.epa.gov/csapr,,,2015.0,2011
MATS_2012,Mercury and Air Toxics Standards,MATS Rule,ENVIRONMENTAL_EMISSIONS,Coal Plant Regulations,FEDERAL,EPA,2015-04-16,2011-12-21,48.0,ACTIVE,,First national standards for mercury and other toxic air pollutants from power plants. Required emission controls or retirement.,Major driver of coal plant retirements. Uneconomic to retrofit many older coal plants. Gas combined cycle became preferred replacement.,INCREASE,MODERATE,36.0,NATIONAL,"ELECTRICITY,COAL,NATURAL_GAS","POWER_GENERATORS,COAL_PRODUCERS","~80 GW of coal retired 2010-2020, partially attributable to MATS",EPA,https://www.epa.gov/mats,,,2015.0,2011
NY_FRACK_BAN,New York Fracking Ban,NY Fracking Moratorium,OIL_GAS_PRODUCTION,State Fracking Ban,STATE,NY_DEC,2015-06-29,2014-12-17,0.0,ACTIVE,,"Permanent ban on high-volume hydraulic fracturing in New York State, citing health and environmental concerns.",Prevented development of NY portion of Marcellus Shale. Increased NY dependence on pipeline imports from PA. Contributed to regional price basis differentials.,INCREASE,LOW,0.0,"NEW_YORK,NORTHEAST",NATURAL_GAS,"GAS_PRODUCERS,UTILITIES",Algonquin Citygate basis vs Henry Hub widened during winter months,NY DEC,https://www.dec.ny.gov/energy/75370.html,NY,,2015.0,2014
CO_SB19_181,Colorado SB 19-181,CO Oil & Gas Reform,OIL_GAS_PRODUCTION,State Drilling Rules,STATE,COGCC,2019-04-16,2019-04-16,24.0,ACTIVE,,"Reformed Colorado oil and gas regulation to prioritize public health and environmental protection. Changed mission from ""fostering"" to ""regulating"" development. Allowed local government control.",Increased regulatory uncertainty and compliance costs in DJ Basin. Some operators shifted capital to Permian.,NEUTRAL,LOW,12.0,"COLORADO,DJ_BASIN","NATURAL_GAS,OIL","GAS_PRODUCERS,OIL_PRODUCERS",DJ Basin rig count declined post-2019,CO Legislature,https://leg.colorado.gov/bills/sb19-181,CO,,2019.0,2019
CO_SB19_236,Colorado Clean Energy Plan,CO Coal Retirement,COAL_RETIREMENT,State Mandate,STATE,CO_PUC,2019-05-30,2019-05-30,0.0,ACTIVE,,Required Xcel Energy to reduce carbon 80% by 2030 and achieve 100% clean electricity by 2050. Accelerated coal plant retirements.,Xcel retiring all CO coal by 2030. Massive renewable and storage buildout. Sets template for utility decarbonization plans.,MIXED,MODERATE,24.0,COLORADO,"ELECTRICITY,COAL","UTILITIES,COAL_PRODUCERS",~3 GW coal to retire by 2030,CO Legislature,https://leg.colorado.gov/bills/sb19-236,CO,,2019.0,2019
ACE_2019,Affordable Clean Energy Rule,ACE Rule,ENVIRONMENTAL_EMISSIONS,Carbon Regulation,FEDERAL,EPA,2019-09-06,2019-06-19,0.0,VACATED,EPA_111_2024,Trump-era replacement for Clean Power Plan. Focused on heat rate improvements at individual plants rather than system-wide emission reductions.,Vacated by DC Circuit in 2021. Regulatory uncertainty continued.,NEUTRAL,NONE,,NATIONAL,"ELECTRICITY,COAL","POWER_GENERATORS,COAL_PRODUCERS",Vacated by court; no implementation,EPA,https://www.epa.gov/stationary-sources-air-pollution/affordable-clean-energy-rule,,,2019.0,2019
TX_SB3_2021,Texas SB 3 - Grid Reliability,TX Grid Weatherization,GRID_RELIABILITY,Weatherization Mandate,STATE,PUCT,2021-06-08,2021-06-08,24.0,ACTIVE,,Post-Winter Storm Uri reforms requiring weatherization of generation and gas facilities. Created Texas Energy Reliability Council.,Increased compliance costs for generators. May reduce future extreme price events. Weatherization requirements phase in through 2023.,INCREASE,LOW,24.0,"TEXAS,ERCOT","ELECTRICITY,NATURAL_GAS","POWER_GENERATORS,GAS_PRODUCERS,GAS_PIPELINES",Weatherization costs estimated at $2-4B across ERCOT,TX Legislature,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB3,TX,,2021.0,2021
IL_CEJA_2021,Illinois Climate and Equitable Jobs Act,IL CEJA,COAL_RETIREMENT,State Mandate,STATE,IL_EPA,2021-09-15,2021-09-15,0.0,ACTIVE,,"Mandates all coal plants close by 2030, all gas plants by 2045. 100% clean energy by 2050. Largest state-mandated coal phaseout.",Will retire ~6 GW of coal in major MISO hub. Creates reliability planning challenges. Increases regional gas and renewable demand.,INCREASE,MODERATE,36.0,"ILLINOIS,MISO","ELECTRICITY,COAL,NATURAL_GAS","POWER_GENERATORS,COAL_PRODUCERS",~6 GW coal to retire by 2030,IL Legislature,https://www.ilga.gov/legislation/publicacts/fulltext.asp?Name=102-0662,IL,,2021.0,2021
IIJA_2021,Infrastructure Investment and Jobs Act,Bipartisan Infrastructure Law,INFRASTRUCTURE_INVESTMENT,Grid and Clean Energy,FEDERAL,DOE,2021-11-15,2021-11-15,60.0,ACTIVE,,"$1.2T infrastructure bill including $65B for grid modernization, $8B for clean hydrogen hubs, $12B for carbon capture.","Funding for transmission buildout, hydrogen hubs, and CCS demonstrations. Addresses key infrastructure bottlenecks.",MIXED,MODERATE,36.0,NATIONAL,"ELECTRICITY,HYDROGEN,CARBON_CAPTURE","TRANSMISSION,CLEAN_HYDROGEN,CCS","$65B grid, $8B H2 hubs, $12B CCS",Congress,https://www.congress.gov/bill/117th-congress/house-bill/3684,,,2021.0,2021
FERC_GHG_POLICY_2022,FERC GHG Policy Statements,Pipeline GHG Review,GAS_INFRASTRUCTURE,Pipeline Permitting,FEDERAL,FERC,2022-02-18,2022-02-17,0.0,WITHDRAWN,,Attempted to update pipeline certificate review to consider greenhouse gas emissions. Withdrawn after industry and political pushback.,Created regulatory uncertainty. Subsequent pipeline applications faced increased scrutiny on climate impacts despite withdrawal.,INCREASE,LOW,12.0,NATIONAL,NATURAL_GAS,GAS_PIPELINES,Mountain Valley Pipeline delayed additional 2+ years partly due to climate litigation,FERC,https://www.ferc.gov/news-events/news/ferc-issues-updated-policy-statements-certification-new-natural-gas-facilities,,,2022.0,2022
IRA_2022,Inflation Reduction Act,IRA Clean Energy,CLEAN_ENERGY_INCENTIVES,Tax Credits,FEDERAL,TREASURY,2022-08-16,2022-08-16,0.0,ACTIVE,,"Largest climate investment in US history. Extended and expanded tax credits for wind, solar, storage, clean hydrogen, CCS, nuclear, and EVs.",Major driver of renewable deployment and clean hydrogen economics. 10-year visibility on incentives enables project financing.,DECREASE,HIGH,24.0,NATIONAL,"ELECTRICITY,NATURAL_GAS,HYDROGEN","RENEWABLES,CLEAN_HYDROGEN,CCS,NUCLEAR,EVS",$369B in clean energy incentives; PTC/ITC extended through 2032+,Congress,https://www.congress.gov/bill/117th-congress/house-bill/5376,,,2022.0,2022
IRA_45V,Clean Hydrogen Production Tax Credit,45V PTC,CLEAN_HYDROGEN,Production Incentive,FEDERAL,TREASURY,2023-01-01,2022-08-16,0.0,ACTIVE,,Production tax credit up to $3/kg for clean hydrogen based on lifecycle carbon intensity. Four tiers from $0.60 to $3.00/kg.,Transforms clean hydrogen economics. $3/kg credit makes green hydrogen competitive with grey in many applications.,DECREASE,VERY_HIGH,24.0,NATIONAL,"HYDROGEN,ELECTRICITY","CLEAN_HYDROGEN,ELECTROLYZER_MFRS,RENEWABLES",Up to $3/kg credit for <0.45 kg CO2/kg H2,Treasury,https://www.irs.gov/credits-deductions/section-45v-credit-for-production-of-clean-hydrogen,,,2023.0,2022
MVP_APPROVAL_2023,Mountain Valley Pipeline Approval,MVP Congressional Approval,GAS_INFRASTRUCTURE,Pipeline Permitting,FEDERAL,CONGRESS,2023-06-03,2023-06-03,0.0,ACTIVE,,"Fiscal Responsibility Act included provision directing completion of Mountain Valley Pipeline, overriding court challenges. First time Congress directly approved a specific pipeline.","Enabled completion of 303-mile, 2 Bcf/d pipeline from Appalachia to Southeast. Set precedent for Congressional permitting intervention.",DECREASE,MODERATE,12.0,"APPALACHIA,SOUTHEAST",NATURAL_GAS,"GAS_PIPELINES,GAS_PRODUCERS,UTILITIES","2 Bcf/d capacity, in service Q1 2024",Congress,https://www.congress.gov/bill/118th-congress/house-bill/3746,,,2023.0,2023
GOOD_NEIGHBOR_2023,Good Neighbor Plan,2023 Ozone Transport Rule,ENVIRONMENTAL_EMISSIONS,Regional Emissions,FEDERAL,EPA,2023-08-04,2023-03-15,12.0,PARTIALLY_STAYED,,Strengthened CSAPR to address 2015 ozone NAAQS transport. Requires significant NOx reductions from power plants and industrial sources in 23 states.,"Supreme Court stayed for some states. Where effective, accelerates need for emission controls or fuel switching.",INCREASE,MODERATE,12.0,"EASTERN_US,MIDWEST","ELECTRICITY,COAL,NATURAL_GAS","POWER_GENERATORS,COAL_PRODUCERS",Affects 23 states; Supreme Court partial stay complicates implementation,EPA,https://www.epa.gov/csapr/good-neighbor-plan-2015-ozone-naaqs,,,2023.0,2023
DOE_H2_HUBS,Regional Clean Hydrogen Hubs Program,H2Hubs,CLEAN_HYDROGEN,Infrastructure Development,FEDERAL,DOE,2023-10-13,2023-10-13,120.0,ACTIVE,,"$7B to establish 7 regional clean hydrogen hubs across US. Covers production, storage, transport, and end-use infrastructure.","Creates regional hydrogen ecosystems. Selected hubs span electrolytic, blue, and pink hydrogen pathways.",DECREASE,MODERATE,60.0,"GULF_COAST,MIDWEST,APPALACHIA,CALIFORNIA,PACIFIC_NW,MID_ATLANTIC,HEARTLAND","HYDROGEN,NATURAL_GAS,ELECTRICITY","CLEAN_HYDROGEN,INDUSTRIAL,TRANSPORTATION","7 hubs, $7B federal investment, expected to produce 3M metric tons H2/year",DOE,https://www.energy.gov/oced/regional-clean-hydrogen-hubs-selections-award-negotiations,,,2023.0,2023
IRA_METHANE_FEE,Methane Emissions Charge,Methane Fee,ENVIRONMENTAL_EMISSIONS,Methane Fee,FEDERAL,EPA,2024-01-01,2022-08-16,0.0,ACTIVE,,"IRA established first federal fee on methane emissions from petroleum and gas facilities. Starts at $900/ton in 2024, rises to $1,500/ton by 2026.",Creates direct cost for methane emissions above threshold. Incentivizes leak detection and repair investments.,INCREASE,LOW,12.0,NATIONAL,"NATURAL_GAS,OIL","GAS_PRODUCERS,OIL_PRODUCERS","$900/ton (2024) to $1,500/ton (2026)",EPA,https://www.epa.gov/inflation-reduction-act/methane-emissions-reduction-program,,,2024.0,2022
DOE_LNG_PAUSE_2024,DOE LNG Export Permit Pause,LNG Permit Pause,LNG_EXPORTS,Export Authorization,FEDERAL,DOE,2024-01-26,2024-01-26,,ACTIVE,,Biden administration paused new LNG export authorizations to non-FTA countries pending updated economic and environmental analysis.,Created uncertainty for ~10 Bcf/d of proposed projects. Did not affect projects already under construction or with existing authorizations.,DECREASE,LOW,24.0,GULF_COAST,"NATURAL_GAS,LNG","LNG_EXPORTERS,GAS_PRODUCERS","Affects ~10 Bcf/d of proposed capacity, ~14 Bcf/d already approved continues",DOE,https://www.energy.gov/articles/doe-announces-pause-pending-lng-export-decisions,,,2024.0,2024
EPA_METHANE_2024,EPA Oil and Gas Methane Rule,Methane Waste Prevention,ENVIRONMENTAL_EMISSIONS,Methane Regulation,FEDERAL,EPA,2024-03-08,2023-12-02,24.0,ACTIVE,,"First comprehensive federal regulation of methane from oil and gas operations. Requires leak detection, limits flaring, phases out routine venting.",Increases compliance costs for producers. May accelerate consolidation to operators with better environmental performance.,INCREASE,LOW,24.0,NATIONAL,"NATURAL_GAS,OIL","GAS_PRODUCERS,OIL_PRODUCERS",Expected to reduce 58M metric tons CO2e by 2038,EPA,https://www.epa.gov/controlling-air-pollution-oil-and-natural-gas-industry,,,2024.0,2023
EPA_111_2024,EPA Clean Power Plan 2.0 / Section 111 Rule,Power Plant GHG Standards,ENVIRONMENTAL_EMISSIONS,Carbon Regulation,FEDERAL,EPA,2024-07-08,2024-04-25,120.0,ACTIVE_LITIGATION,,New GHG standards for power plants. Requires existing coal plants to reduce emissions 90% by 2032 or retire. New gas plants must use CCS by 2035.,"If upheld, will accelerate coal retirements and require carbon capture for new baseload gas. May affect 200+ GW of existing generation.",INCREASE,HIGH,60.0,NATIONAL,"ELECTRICITY,COAL,NATURAL_GAS","POWER_GENERATORS,COAL_PRODUCERS,CCS_DEVELOPERS",Could affect 200+ GW of existing fossil generation,EPA,https://www.epa.gov/stationary-sources-air-pollution/greenhouse-gas-standards-and-guidelines-fossil-fuel-fired-power,,,2024.0,2024
TX_PCM_2023,ERCOT Performance Credit Mechanism,TX PCM,CAPACITY_MARKETS,Reliability Mechanism,STATE,PUCT,2026-01-01,2023-01-19,36.0,PENDING,,New reliability mechanism awarding credits to generators for availability during scarcity conditions. Alternative to traditional capacity market.,May support new dispatchable generation investment. Credits expected to provide $1-2B/year in additional generator revenue.,INCREASE,MODERATE,36.0,"TEXAS,ERCOT",ELECTRICITY,POWER_GENERATORS,Expected to support 3-7 GW of new dispatchable capacity,PUCT,https://www.puc.texas.gov/industry/electric/PCM.aspx,TX,,2026.0,2023
CPP_2015,Clean Power Plan,CPP,ENVIRONMENTAL_EMISSIONS,Carbon Regulation,FEDERAL,EPA,,2015-08-03,,REPEALED,ACE_2019,Obama-era regulation setting first-ever carbon emission limits for existing power plants. Would have required 32% reduction from 2005 levels by 2030.,Stayed by Supreme Court before implementation. Created planning uncertainty. Many utilities proceeded with coal retirements anyway due to economics.,NEUTRAL,NONE,,NATIONAL,"ELECTRICITY,COAL,NATURAL_GAS","POWER_GENERATORS,COAL_PRODUCERS",Never implemented; repealed 2019,EPA,https://www.epa.gov/cleanpowerplan,,,,2015
