"Overview of the price points broken down by technology in December 2020, including changes over the previous month (as of Dec. 14, 2020):"
"Overview of the price points broken down by technology in December 2020, including changes over the previous month (as of Dec. 14, 2020):"
Module class,€/Wp,Trend since Nov. 2020,Trend since Jan. 2020,Description
"Notes : Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source : pvXchange.com"
"Overview of price points by technology (As of June 18, 2019, including changes over the previous month):"
Module class,€/Wp,Trend since May 2019,Trend since January 2019,Description
Crystalline modules
High efficiency,0.34,0.0%,-2.9%,"Crystalline panels at 290 Wp and above, with PERC, HJT, n-type or back contact cells, or combinations thereof"
All black,0.34,-5.6%,-5.6%,"Module types with black backsheets, black frames and rated power between 200 and 320 Wp"
Mainstream,0.26,-3.7%,-3.7%,"Modules typically with 60 cells, standard aluminum frames, white backsheets and 260 to 290 Wp — this represents most modules on the market"
Low cost,0.19,-5.0%,+5.6%,"Factory seconds, insolvency goods, used or low-output modules (crystalline) and prod ucts with limited or no warranty"
"Notes : Only tax-free prices for PV modules are shown, with stated prices reflecting average prices on the European spot market (customs cleared) Source : pvXchange.com"
"Overview of the price points broken down by technology in April 2019 including the changes over the previous month (as of April 11, 2019):"
Module class,€/Wp,Trend since March 2019,Trend since January 2019,Description
Crystalline modules
High efficiency,0.35,0.0%,0.0%,"Crystalline modules 290 Wp and above with PERC, HJT, n-type, or back contact cells, or combinations thereof"
All black,0.36,+2.9%,0.0%,"Module types with black backsheets, black frames, and rated power between 200 and 320 Wp"
Mainstream,0.26,-3.7%,-3.7%,"Modules typically with 60 cells, standard aluminum frame, white backsheet, and 260 to 290 Wp – this represents the majority of the modules on the market"
Low cost,0.20,0.0%,+11.1%,"Factory seconds, insolvency goods, used or low output modules (crystalline), and prod ucts with limited or no warranty"
Notes: 1. Only tax-free prices for PV modules are shown. 2. Stated prices reflect the average prices quoted on the European spot market (customs cleared). Source: pvXchange.com
"Overview of the price points in July 2018, broken down by technology, including the changes over the previous month"
Module class,Price (€/Wp),Change over previous month,Trend since ­January 2018,Description
High efficiency,0.40,-4.8%,-16.7%,"Crystalline modules 285 Wp and above with Cello, PERC, HIT, n-type, or back contact cells or combinations thereof"
All black,0.42,-4.5%,-10.6%,"Module types with black backsheets, black frames, and rated outputs of between 200 and 320 Wp"
Mainstream,0.32,-3.0%,-13.5%,"Modules with usually 60 cells, standard aluminum frames, white backing, and 260 to 280 Wp – the majority of modules on the market"
Low cost,0.22,-8.3%,-15.4%,"Reduced-capacity modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no guarantee"
"The prices shown reflect the average asking prices for goods cleared through customs on the European spot market, as of 16 July 2018."
Module class,Price (€/Wp),Change over previous month,Description
High efficiency,0.42,– 2.3 %,"Crystalline modules 285 Wp and above with Cello, PERC, HIT -, n-type – or back-contact cells or combinations thereof"
All black,0.44,– 4.3 %,"Module types with black backsheets, black frames and rated outputs of between 200 Wp and 320 Wp"
Mainstream,0.33,– 2.9 %,"Modules with usually 60 cells, standard aluminum frames, white backing and 260 Wp to 280 Wp – the majority of modules on the market"
Low cost,0.24,0.0 %,"Reduced-capacity modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no guarantee"
Module Class,Price (€/Wp),Change comp. with previous month,Description
High Efficiency,0.60,-3.2%,"Crystalline modules 275 Wp and above with PERC, HIT, n-type or back-contact cells, or combinations thereof"
All Black,0.54,-1.8%,"Module types with black back sheets, black frames and a rated power between 190 Wp and 270 Wp"
Mainstream,0.46,-2.1%,"Modules typically with 60 cells, standard aluminum frame, white backsheets and 245-270 Wp, represents the majority of the modules on the market"
Low Cost,0.34,+3.0%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module Class,Price (€/Wp),Change comp. with previous month,Description
High Efficiency,0.66,-2.9%,"Crystalline modules 275 Wp and above with PERC, HIT, n-type or back-contact cells, or combinations thereof"
All Black,0.56,0.0%,"Module types with black back sheets, black frames and a rated power between 190 Wp and 270 Wp"
Mainstream,0.49,-2.0%,"Modules typically with 60 cells, standard aluminum frame, white backsheets and 245-270 Wp, represents the majority of the modules on the market"
Low Cost,0.35,+2.9%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module Class,Price (€/Wp),Change comp. with previous month,Description
High Efficiency,0.68,+1.5%,"Crystalline modules 275 Wp and above with PERC, HIT, n-type or back-contact cells, or combinations thereof"
All Black,0.56,+1.8%,"Module types with black back sheets, black frames and a rated power between 190 Wp and 270 Wp"
Mainstream,0.50,-2.0%,"Modules typically with 60 cells, standard aluminum frame, white backsheets and 245-270 Wp, represents the majority of the modules on the market"
Low Cost,0.34,-5.6%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module Class,Price (€/Wp),Change comp. with previous month,Description
High Efficiency,0.67,+1.5%,"Crystalline modules, 275 Wp and above with PERC, HIT, N-Type, or back -contact cells or a combination thereof"
All Black,0.55,-3.5%,"Module types with black back sheet, black frame and a rated power between 190 Wp and 270 Wp"
Mainstream,0.51,0.0%,"Modules with usually 6o cells, standard aluminum frames, white back sheets and 245 to 270 Wp; represents the majority of modules on the market"
Low Cost,0.36,-5.3%,"Low-performance modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no manufacturer guarantee"
Module Class,Price (€/Wp),Change comp. with previous month,Description
High Efficiency,0.66,-7.0%,"Crystalline modules 275 Wp and above with PERC, HIT, N-Type or back-contact cells, or combinations thereof"
All Black,0.57,-3.4%,"Module types with black back sheet, black frame and a rated power between 190 Wp and 270 Wp"
Mainstream,0.51,+2.0%,"Modules typically with 60 cells, standard aluminium frame, white backsheet and 245-270 Wp, represents the majority of the modules in the market"
Low Cost,0.38,+2.6%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module Class,Price (€/Wp),Change comp. with previous month,Description
High Efficiency,0.71,-2.9%,"Crystalline modules 275 Wp and above with PERC, HIT, N-Type or back-contact cells, or combinations thereof"
All Black,0.59,0.0%,"Module types with black back sheet, black frame and a rated power between 190 Wp and 270 Wp"
Mainstream,0.50,0.0%,"Modules typically with 60 cells, standard aluminium frame, white backsheet and 245-270 Wp, represents the majority of the modules in the market"
Low Cost,0.39,+2.6%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module Class,Price (€/Wp),Change comp. with previous month,Description
High Efficiency,0.69,-3.0%,"Crystalline modules 275 Wp and above with PERC, HIT, N-Type or back-contact cells, or combinations thereof"
All Black,0.59,-5.4%,"Module types with black back sheet, black frame and a rated power between 190 Wp and 270 Wp"
Mainstream,0.50,-0.0%,"Modules typically with 60 cells, standard aluminium frame, white backsheet and 245-270 Wp, represents the majority of the modules in the market"
Low Cost,0.38,+5.6%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module Class,Price (€/Wp),Change comp. with previous month,Description
High Efficiency,0.67,-2.9%,"Crystalline modules 275 Wp and above with PERC, HIT, N-Type or back-contact cells, or combinations thereof"
All Black,0.56,-3.4%,"Module types with black back sheet, black frame and a rated power between 190 Wp and 270 Wp"
Mainstream,0.50,-2.0%,"Modules typically with 60 cells, standard aluminium frame, white backsheet and 245-270 Wp, represents the majority of the modules in the market"
Low Cost,0.36,+5.9%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module Class,Price (€/Wp),Change comp. with previous month,Description
High Efficiency,0.69,-1.4%,"Crystalline modules 275 Wp and above with PERC, HIT, N-Type or back-contact cells, or combinations thereof"
All Black,0.58,+1.8%,"Module types with black back sheet, black frame and a rated power between 190 Wp and 270 Wp"
Mainstream,0.51,+2.0%,"Modules typically with 60 cells, standard aluminium frame, white backsheet and 245-270 Wp, represents the majority of the modules in the market"
Low Cost,0.34,-8.1%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module class,Price (€/Wp),Change comp. with Previous month,Description
High Efficiency,0.70,+ 2.9%,"Crystalline modules 275 Wp and above with PERC, HIT, N-Type or back-contact cells, or combinations thereof"
All Black,0.57,0.0%,"Module types with black back sheet, black frame and a rated power between 190 Wp and 270 Wp"
Mainstream,0.50,+ 2.0%,"Modules typically with 60 cells, standard aluminum frame, white backsheet and 245-270 Wp, represents the majority of the modules in the market"
Low Cost,0.37,0.0%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module class,Price (€/Wp),Change over prev.  month,Description
High Efficiency,0.68,– 2.9%,"Crystalline modules 275 Wp and above with PERC, HIT, N-Type or back-contact cells, or combinations thereof"
All Black,0.57,– 3.4%,"Module types with black back sheet, black frame and a rated power between 190 Wp and 270 Wp"
Mainstream,0.49,0.0%,"Modules typically with 60 cells, standard aluminum frame, white backsheet and 245-270 Wp, represents the majority of the modules in the market"
Low Cost,0.37,– 5.1%,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
Module class,Price (€/Wp),Change rel. to prev. month,Description
High efficiency,0.70,"+ 1,4%","Crystalline modules to 275 Wp with PERC, HIT, n-type, or back-contact cells or a combination thereof"
All black,0.59,0.0 %,"Module types with black back lamination, black frame, and a nominal capacity between 190 Wp and 270 Wp"
Mainstream,0.49,– 3.9 %,"Modules that usually have 60 cells, standard aluminum frames, white back lamination, and 245 to 270 Wp; the majority of modules on the market"
Low cost,0.39,+ 2.6%,"Low-output modules, factory seconds, inventory liquidation, used modules (crystalline), products with limited or no manufacturer warranty"
Module Class,Price (€/Wp),Description
High Efficiency,0.69,"Crystalline modules 275 Wp and above with PERC, HIT, N-Type or back-contact cells, or combinations thereof"
All Black,0.59,"Module types with black back sheet, black frame and a rated power between 190 Wp and 270 Wp"
Mainstream,0.51,"Modules typically with 60 cells, standard aluminum frame, white backsheet and 245-270 Wp, represents the majority of the modules in the market"
Low Cost,0.38,"Low-output modules, factory seconds, insolvency goods, used modules (crystalline), products with limited or no warranty"
